epoch,accuracy,loss,val_accuracy,val_loss
0,0.3656560778617859,2.1417558193206787,0.38019999861717224,1.8382806777954102
1,0.48959335684776306,1.5456441640853882,0.521399974822998,1.4396684169769287
2,0.5557827949523926,1.3184170722961426,0.6104000210762024,1.1664831638336182
3,0.6063321828842163,1.1699172258377075,0.6222000122070312,1.1822689771652222
4,0.6444297432899475,1.0585052967071533,0.6312000155448914,1.1467092037200928
5,0.667368471622467,0.9892870187759399,0.692300021648407,0.9618595838546753
6,0.6903071999549866,0.9289019703865051,0.7211999893188477,0.8830419778823853
7,0.71077960729599,0.8713011741638184,0.7301999926567078,0.8499278426170349
8,0.7236325144767761,0.8373561501502991,0.7472000122070312,0.7967500686645508
9,0.7339589595794678,0.8079929947853088,0.7501000165939331,0.7924248576164246
10,0.7441049218177795,0.7792513966560364,0.7541999816894531,0.7857930064201355
11,0.7525665760040283,0.7535975575447083,0.781499981880188,0.7085904479026794
12,0.7618102431297302,0.7303842902183533,0.7792999744415283,0.7147971987724304
13,0.767765462398529,0.7168232798576355,0.7950000166893005,0.6628150343894958
14,0.7753449082374573,0.6986461877822876,0.7748000025749207,0.7547256946563721
15,0.7822826504707336,0.6771842241287231,0.792900025844574,0.6712263822555542
16,0.7856712937355042,0.6657488346099854,0.8090999722480774,0.6256928443908691
17,0.7905237674713135,0.6535791158676147,0.8156999945640564,0.6195199489593506
18,0.7974815368652344,0.637833297252655,0.8140000104904175,0.6250321865081787
19,0.8022136688232422,0.6259159445762634,0.8241999745368958,0.5972203016281128
20,0.8067051768302917,0.6157147884368896,0.8120999932289124,0.6369880437850952
21,0.8067252039909363,0.611875593662262,0.8097000122070312,0.6524696350097656
22,0.8089308738708496,0.603913426399231,0.8058000206947327,0.6789103150367737
23,0.8114974498748779,0.5987322926521301,0.8378999829292297,0.5544572472572327
24,0.8166105151176453,0.5903666615486145,0.8270000219345093,0.5924732685089111
25,0.8198387622833252,0.5817198157310486,0.8264999985694885,0.579276442527771
